
{'date': 'Junior September Early', 'grade': 'Pre-OP', 'name': 'Aster Sho', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior September Late', 'grade': 'Pre-OP', 'name': 'Saffron Sho', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior October Early', 'grade': 'Pre-OP', 'name': 'Platanus Sho', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior October Early', 'grade': 'Pre-OP', 'name': 'Rindo Sho', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior October Early', 'grade': 'Pre-OP', 'name': 'Shigiku Sho', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior October Late', 'grade': 'Pre-OP', 'name': 'Nadeshiko Sho', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Early', 'grade': 'Pre-OP', 'name': 'Hyakunichiso Tokubetsu', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Early', 'grade': 'Pre-OP', 'name': 'Kigiku Sho', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Early', 'grade': 'Pre-OP', 'name': 'Kimmokusei Tokubetsu', 'racetrack': 'Fukushima', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Early', 'grade': 'Pre-OP', 'name': 'Oxalis Sho', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Late', 'grade': 'Pre-OP', 'name': 'Akamatsu Sho', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Late', 'grade': 'Pre-OP', 'name': 'Begonia Sho', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Late', 'grade': 'Pre-OP', 'name': 'Cattleya Sho', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Late', 'grade': 'Pre-OP', 'name': 'Habotan Sho', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Late', 'grade': 'Pre-OP', 'name': 'Koyamaki Sho', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Late', 'grade': 'Pre-OP', 'name': 'Mochinoki Sho', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Late', 'grade': 'Pre-OP', 'name': 'Shiragiku Sho', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Late', 'grade': 'Pre-OP', 'name': 'Shumeigiku Sho', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior December Early', 'grade': 'Pre-OP', 'name': 'Erica Sho', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Junior December Early', 'grade': 'Pre-OP', 'name': 'Hiiragi Sho', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Junior December Early', 'grade': 'Pre-OP', 'name': 'Kantsubaki Sho', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Junior December Early', 'grade': 'Pre-OP', 'name': 'Kuromatsu Sho', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Junior December Early', 'grade': 'Pre-OP', 'name': 'Manryo Sho', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Junior December Early', 'grade': 'Pre-OP', 'name': 'Sazanka Sho', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Junior December Early', 'grade': 'Pre-OP', 'name': 'Tsuwabuki Sho', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Junior December Late', 'grade': 'Pre-OP', 'name': 'Senryo Sho', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Junior July Late', 'grade': 'OP', 'name': 'Chukyo Junior Stakes', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Junior August Early', 'grade': 'OP', 'name': 'Cosmos Sho', 'racetrack': 'Sapporo', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Junior August Early', 'grade': 'OP', 'name': 'Dahlia Sho', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Junior August Early', 'grade': 'OP', 'name': 'Phoenix Sho', 'racetrack': 'Kokura', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Junior August Late', 'grade': 'OP', 'name': 'Clover Sho', 'racetrack': 'Sapporo', 'direction': 'right', 'terrain': 'Turf', 'distance': 1500, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Junior September Early', 'grade': 'OP', 'name': 'Nojigiku Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior September Early', 'grade': 'OP', 'name': 'Suzuran Sho', 'racetrack': 'Sapporo', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior September Late', 'grade': 'OP', 'name': 'Canna Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior September Late', 'grade': 'OP', 'name': 'Fuyo Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior September Late', 'grade': 'OP', 'name': 'Kikyo Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
