Date                     Grade   Name                            Racetrack  Direction  Terrain  Distance  Race-type  Season  Day       Fans  Slopes
Junior June Late         Maiden  Junior Make Debut               ?          ?          ?               ?  ?          Spring  Day          ?  ?
Junior July Late         G3      Hakodate Junior Stakes          Hakodate   right      Turf         1200  Sprint     Summer  Day          ?  -
Junior July Late         OP      Chukyo Junior Stakes            Chukyo     left       Turf         1600  Mile       Summer  Day       1600  down, up
Junior August Early      OP      Cosmos Sho                      Sapporo    right      Turf         1800  Mile       Summer  Day       1600  -
Junior August Early      OP      Dahlia Sho                      Niigata    left       Turf         1400  Sprint     Summer  Day       1600  -
Junior August Early      OP      Phoenix Sho                     Kokura     right      Turf         1200  Sprint     Summer  Day       1600  down
Junior August Late       G3      Niigata Junior Stakes           Niigata    left       Turf         1600  Mile       Summer  Day       3100  up, down
Junior August Late       OP      Clover Sho                      Sapporo    right      Turf         1500  Mile       Summer  Day       1600  -
Junior September Early   G3      Kokura Junior Stakes            Kokura     right      Turf         1200  Sprint     Fall    Day       3100  down
Junior September Early   G3      Sapporo Junior Stakes           Sapporo    right      Turf         1800  Mile       Fall    Day       3100  -
Junior September Early   OP      Suzuran Sho                     Sapporo    right      Turf         1200  Sprint     Fall    Day       1600  -
Junior September Early   OP      Nojigiku Stakes                 Hanshin    right      Turf         1800  Mile       Fall    Day       1600  down, up
Junior September Early   Pre-OP  Aster Sho                       Nakayama   right      Turf         1600  Mile       Fall    Day       1000  down, up
Junior September Late    OP      Fuyo Stakes                     Nakayama   right      Turf         2000  Medium     Fall    Day       1600  up, up, down, up
Junior September Late    OP      Canna Stakes                    Nakayama   right      Turf         1200  Sprint     Fall    Day       1600  down, up
Junior September Late    OP      Kikyo Stakes                    Hanshin    right      Turf         1400  Sprint     Fall    Day       1600  down, up
Junior September Late    Pre-OP  Saffron Sho                     Nakayama   right      Turf         1600  Mile       Fall    Day       1000  down, up
Junior October Early     G3      Saudi Arabia Royal Cup          Tokyo      left       Turf         1600  Mile       Fall    Day       3300  up, down, up
Junior October Early     OP      Momiji Stakes                   Kyoto      right      Turf         1400  Sprint     Fall    Day       1600  up, up, down
Junior October Early     Pre-OP  Rindo Sho                       Kyoto      right      Turf         1400  Sprint     Fall    Day       1000  up, up, down
Junior October Early     Pre-OP  Shigiku Sho                     Kyoto      right      Turf         2000  Medium     Fall    Day       1000  up, down
Junior October Early     Pre-OP  Platanus Sho                    Tokyo      left       Dirt         1600  Mile       Fall    Day       1000  down, up
Junior October Late      G3      Artemis Stakes                  Tokyo      left       Turf         1600  Mile       Fall    Day       2900  up, down, up
Junior October Late      OP      Ivy Stakes                      Tokyo      left       Turf         1800  Mile       Fall    Day       1700  up, down, up
Junior October Late      OP      Hagi Stakes                     Kyoto      right      Turf         1800  Mile       Fall    Day       1700  up, up, down
Junior October Late      Pre-OP  Nadeshiko Sho                   Kyoto      right      Dirt         1400  Sprint     Fall    Day       1000  up, down
Junior November Early    G2      Keio Hai Junior Stakes          Tokyo      left       Turf         1400  Sprint     Fall    Day       3800  up, down, up
Junior November Early    G2      Daily Hai Junior Stakes         Kyoto      right      Turf         1600  Mile       Fall    Day       3800  up, up, down
Junior November Early    G3      Fantasy Stakes                  Kyoto      right      Turf         1400  Sprint     Fall    Day       2900  up, up, down
Junior November Early    OP      Fukushima Junior Stakes         Fukushima  right      Turf         1200  Sprint     Fall    Day       1600  up
Junior November Early    Pre-OP  Kigiku Sho                      Kyoto      right      Turf         2000  Medium     Fall    Day       1000  up, down
Junior November Early    Pre-OP  Oxalis Sho                      Tokyo      left       Dirt         1400  Sprint     Fall    Day       1000  down, up
Junior November Early    Pre-OP  Kimmokusei Tokubetsu            Fukushima  right      Turf         1800  Mile       Fall    Day       1000  up
Junior November Early    Pre-OP  Hyakunichiso Tokubetsu          Tokyo      left       Turf         2000  Medium     Fall    Day       1000  up, down, up
Junior November Late     G3      Kyoto Junior Stakes             Kyoto      right      Turf         2000  Medium     Fall    Day       3300  up, down
Junior November Late     G3      Tokyo Sports Hai Junior Stakes  Tokyo      left       Turf         1800  Mile       Fall    Day       3300  up, down, up
Junior November Late     Pre-OP  Begonia Sho                     Tokyo      left       Turf         1600  Mile       Fall    Day       1000  up, down, up
Junior November Late     Pre-OP  Habotan Sho                     Nakayama   right      Turf         2000  Medium     Fall    Day       1000  up, up, down, up
Junior November Late     Pre-OP  Akamatsu Sho                    Tokyo      left       Turf         1600  Mile       Fall    Day       1000  up, down, up
Junior November Late     Pre-OP  Cattleya Sho                    Tokyo      left       Dirt         1600  Mile       Fall    Day       1000  down, up
Junior November Late     Pre-OP  Koyamaki Sho                    Chukyo     left       Turf         1600  Mile       Fall    Day       1000  down, up
Junior November Late     Pre-OP  Mochinoki Sho                   Kyoto      right      Dirt         1800  Mile       Fall    Day       1000  up, down
Junior November Late     Pre-OP  Shiragiku Sho                   Kyoto      right      Turf         1600  Mile       Fall    Day       1000  up, up, down
Junior November Late     Pre-OP  Shumeigiku Sho                  Kyoto      right      Turf         1400  Sprint     Fall    Day       1000  up, up, down
Junior December Early    G1      Hanshin Juvenile Fillies        Hanshin    right      Turf         1600  Mile       Winter  Day       6500  down, up
Junior December Early    G1      Asahi Hai Futurity Stakes       Hanshin    right      Turf         1600  Mile       Winter  Day       7000  down, up
Junior December Early    Pre-OP  Erica Sho                       Hanshin    right      Turf         2000  Medium     Winter  Day       1000  down, up, up, down, down, up, up
Junior December Early    Pre-OP  Manryo Sho                      Hanshin    right      Turf         1400  Sprint     Winter  Day       1000  down, up
Junior December Early    Pre-OP  Hiiragi Sho                     Nakayama   right      Turf         1600  Mile       Winter  Day       1000  down, up
Junior December Early    Pre-OP  Sazanka Sho                     Hanshin    right      Turf         1200  Sprint     Winter  Day       1000  down, up
Junior December Early    Pre-OP  Kuromatsu Sho                   Nakayama   right      Turf         1200  Sprint     Winter  Day       1000  down, up
Junior December Early    Pre-OP  Tsuwabuki Sho                   Chukyo     left       Turf         1400  Sprint     Winter  Day       1000  down, up
Junior December Early    Pre-OP  Kantsubaki Sho                  Chukyo     left       Dirt         1400  Sprint     Winter  Day       1000  down, up
Junior December Late     G1      Hopeful Stakes                  Nakayama   right      Turf         2000  Medium     Winter  Day       7000  up, up, down, up
Junior December Late     OP      Christmas Rose Stakes           Nakayama   right      Turf         1200  Sprint     Winter  Day       1600  down, up
Junior December Late     Pre-OP  Senryo Sho                      Hanshin    right      Turf         1600  Mile       Winter  Day       1000  down, up
Classic January Early    G3      Keisei Hai                      Nakayama   right      Turf         2000  Medium     Winter  Day       3800  up, up, down, up
Classic January Early    G3      Fairy Stakes                    Nakayama   right      Turf         1600  Mile       Winter  Day       3500  down, up
Classic January Early    G3      Shinzan Kinen                   Kyoto      right      Turf         1600  Mile       Winter  Day       3800  up, up, down
Classic January Early    OP      Junior Cup                      Nakayama   right      Turf         1600  Mile       Winter  Day       2000  down, up
Classic January Early    OP      Kobai Stakes                    Kyoto      right      Turf         1400  Sprint     Winter  Day       2000  up, up, down
Classic January Late     OP      Crocus Stakes                   Tokyo      left       Turf         1400  Sprint     Winter  Day       2000  up, down, up
Classic January Late     OP      Wakagoma Stakes                 Kyoto      right      Turf         2000  Medium     Winter  Day       2000  up, down
Classic February Early   G3      Queen Cup                       Tokyo      left       Turf         1600  Mile       Winter  Day       3500  up, down, up
Classic February Early   G3      Kisaragi Sho                    Kyoto      right      Turf         1800  Mile       Winter  Day       3800  up, up, down
Classic February Early   G3      Kyodo News Hai                  Tokyo      left       Turf         1800  Mile       Winter  Day       3800  up, down, up
